,location_companies,location_schools,location_vegan,location_airports,location_starbucks,distance1,distance2,distance3,distance4
0,"{'type': 'Point', 'coordinates': [-122.323895, 37.566879]}","{'type': 'Point', 'coordinates': [-122.3270935, 37.56566840000001]}","{'type': 'Point', 'coordinates': [-122.3235943, 37.5668413]}","{'type': 'Point', 'coordinates': [-122.38347, 37.617025]}","{'type': 'Point', 'coordinates': [-122.32, 37.56]}",0.3124890186070225,0.026840088155762686,7.660094475321243,0.8386578168114985
1,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}","{'type': 'Point', 'coordinates': [-73.99308309999999, 40.7653346]}","{'type': 'Point', 'coordinates': [-73.9884826, 40.7524772]}","{'type': 'Point', 'coordinates': [-73.871986, 40.774554]}","{'type': 'Point', 'coordinates': [-73.99, 40.76]}",1.042093670293508,0.6561992096815499,9.740122748120562,0.443184894113537
2,"{'type': 'Point', 'coordinates': [-122.3254705, 37.5645375]}","{'type': 'Point', 'coordinates': [-122.3270935, 37.56566840000001]}","{'type': 'Point', 'coordinates': [-122.3235943, 37.5668413]}","{'type': 'Point', 'coordinates': [-122.38347, 37.617025]}","{'type': 'Point', 'coordinates': [-122.32, 37.56]}",0.19051824383770447,0.30499523388176725,7.759643351655112,0.6981025320032858
3,"{'type': 'Point', 'coordinates': [-122.214897, 37.772323]}","{'type': 'Point', 'coordinates': [-122.2131798, 37.7751429]}","{'type': 'Point', 'coordinates': [-122.2213444, 37.7741025]}","{'type': 'Point', 'coordinates': [-122.213261, 37.712304]}","{'type': 'Point', 'coordinates': [-122.23, 37.77]}",0.3480902026875652,0.6004036174774717,6.677239742793526,1.352764611984128
4,"{'type': 'Point', 'coordinates': [-113.515769, 53.544711]}","{'type': 'Point', 'coordinates': [-113.5241045, 53.5438397]}","{'type': 'Point', 'coordinates': [-113.5144264, 53.5406711]}","{'type': 'Point', 'coordinates': [-113.522974, 53.570944]}","{'type': 'Point', 'coordinates': [-113.51, 53.54]}",0.5593590352843901,0.4580211150958541,2.956375271204322,0.6480341720615949
5,"{'type': 'Point', 'coordinates': [-121.900366, 37.412069]}","{'type': 'Point', 'coordinates': [-121.8984811, 37.405894]}","{'type': 'Point', 'coordinates': [-121.8961422, 37.4159472]}","{'type': 'Point', 'coordinates': [-121.929429, 37.369491]}","{'type': 'Point', 'coordinates': [-121.9, 37.41]}",0.7067225299670323,0.5703560924815775,5.387389924695346,0.23238770824738134
6,"{'type': 'Point', 'coordinates': [-122.274771, 37.78424]}","{'type': 'Point', 'coordinates': [-122.2853413, 37.7823029]}","{'type': 'Point', 'coordinates': [-122.2704957, 37.7952061]}","{'type': 'Point', 'coordinates': [-122.213261, 37.712304]}","{'type': 'Point', 'coordinates': [-122.28, 37.78]}",0.9538440846090444,1.2762961493024496,9.658316156111947,0.6585588501801327
7,"{'type': 'Point', 'coordinates': [-123.138565, 49.263588]}","{'type': 'Point', 'coordinates': [-123.1267371, 49.2671453]}","{'type': 'Point', 'coordinates': [-123.1352518, 49.27266729999999]}","{'type': 'Point', 'coordinates': [-123.180867, 49.193559]}","{'type': 'Point', 'coordinates': [-123.14, 49.26]}",0.9452771606176272,1.0380910340980085,8.373204707124149,0.4124492852816297
8,"{'type': 'Point', 'coordinates': [8.5082891, 47.3912899]}","{'type': 'Point', 'coordinates': [8.5208388, 47.3894517]}","{'type': 'Point', 'coordinates': [8.5091667, 47.3908333]}","{'type': 'Point', 'coordinates': [8.562213, 47.45239]}","{'type': 'Point', 'coordinates': [8.53, 47.38]}",0.9668590206394456,0.0833433317256183,7.915334783397712,2.061559472767721
9,"{'type': 'Point', 'coordinates': [-83.045913, 42.330165]}","{'type': 'Point', 'coordinates': [-83.03382830000001, 42.3384923]}","{'type': 'Point', 'coordinates': [-83.0464145, 42.3341777]}","{'type': 'Point', 'coordinates': [-83.003968, 42.409094]}","{'type': 'Point', 'coordinates': [-83.05, 42.33]}",1.3583663510805992,0.44821846561695,9.431393900195776,0.3365628503716546
10,"{'type': 'Point', 'coordinates': [-118.462421, 33.989029]}","{'type': 'Point', 'coordinates': [-118.462882, 33.9965264]}","{'type': 'Point', 'coordinates': [-118.4724679, 33.9923186]}","{'type': 'Point', 'coordinates': [-118.402469, 33.944174]}","{'type': 'Point', 'coordinates': [-118.45, 33.99]}",0.8349907402043846,0.9961628897063143,7.448213703386905,1.1505711748123109
11,"{'type': 'Point', 'coordinates': [18.036587, 59.337864]}","{'type': 'Point', 'coordinates': [18.0273403, 59.3325218]}","{'type': 'Point', 'coordinates': [18.0502028, 59.3435077]}","{'type': 'Point', 'coordinates': [17.945618, 59.35559]}","{'type': 'Point', 'coordinates': [18.06, 59.33]}",0.7925939397409043,0.9952014419469207,5.522575871778115,1.5903408185608165
